"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,379,705,53.76%
202482,B-9427-CXS,696,696,100%
202476,B-9389-CXS,319,668,47.75%
202459,B-9371-CXS,2,698,0.29%
202493,B-9437-CXS,83,83,100%
202444,B-9406-CXS,25,712,3.51%
202543,B-9605-CXS,0,696,0%
202454,B-9360-CXS,1,181,0.55%
202490,B-9448-CXR,131,708,18.5%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,1021,1347,75.8%
202482,B-9427-CXS,1335,1335,100%
202476,B-9389-CXS,505,1309,38.58%
202459,B-9371-CXS,273,1344,20.31%
202493,B-9437-CXS,545,545,100%
202444,B-9406-CXS,198,1349,14.68%
202543,B-9605-CXS,0,1341,0%
202454,B-9360-CXS,1,357,0.28%
202490,B-9448-CXR,590,1347,43.8%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,1021,1347,75.8%
202482,B-9427-CXS,1335,1335,100%
202476,B-9389-CXS,505,1309,38.58%
202459,B-9371-CXS,273,1344,20.31%
202493,B-9437-CXS,545,545,100%
202444,B-9406-CXS,198,1349,14.68%
202543,B-9605-CXS,0,1341,0%
202454,B-9360-CXS,1,357,0.28%
202490,B-9448-CXR,590,1347,43.8%
201214,W-9984-US,99,1355,7.31%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,1065,1337,79.66%
202482,B-9427-CXS,1335,1335,100%
202476,B-9389-CXS,0,1377,0%
202459,B-9371-CXS,2,1331,0.15%
202493,B-9437-CXS,896,1364,65.69%
202444,B-9406-CXS,245,1343,18.24%
202543,B-9605-CXS,1,1361,0.07%
202454,B-9360-CXS,1,1349,0.07%
202490,B-9448-CXR,310,1360,22.79%
201214,W-9984-US,45,1336,3.37%
