"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
201003,W-8292-U,0,1430,0%
201011,W-8058-UN,0,0,0%
201016,L-9451-UB,0,1350,0%
201022,L-9452-UB,0,1354,0%
201025,B-9291-CXR,0,1387,0%
201031,W-8365-U,0,1336,0%
201034,L-9386-UD,0,1353,0%
201035,W-8042-UN,0,1418,0%
201036,L-9302-UF,0,1342,0%
201037,B-9295-CXR,0,0,0%
201038,L-9388-UD,0,1420,0%
201044,W-9499-U,0,1377,0%
201046,W-9501-U,0,1336,0%
201048,W-8439-UQ,0,1335,0%
201058,L-9056-UB,0,1337,0%
201059,B-9381-CU,0,1343,0%
201063,W-8879-U,0,0,0%
201064,L-9760-UD,0,1326,0%
201067,L-9872-UA,0,0,0%
201071,W-9265-U,0,1364,0%
201072,W-9329-U,0,1335,0%
201074,W-8446-UN,0,1375,0%
201075,W-9705-U,1,1352,0.07%
201077,W-9215-UP,1,1359,0.07%
201078,W-9212-UP,1,1345,0.07%
201079,W-9704-U,0,1367,0%
201080,W-8443-UN,0,1334,0%
201081,W-9213-UP,0,1358,0%
201082,W-9210-UP,0,0,0%
201083,W-9214-UP,0,1344,0%
201084,W-9970-UP,0,1336,0%
201085,W-9974-UP,0,1346,0%
201086,W-9971-UP,0,1335,0%
201087,W-9601-UP,0,1341,0%
201088,W-8440-UQ,0,1337,0%
201089,W-9604-UP,0,1410,0%
201090,W-9599-UP,0,269,0%
201092,W-9602-UP,0,1388,0%
201093,W-8359-UQ,884,1365,64.76%
201094,W-8628-UQ,0,1333,0%
201095,W-8437-UQ,0,1370,0%
201096,W-8360-UQ,0,1351,0%
201097,W-8489-UQ,0,1386,0%
201100,W-9069-UQ,0,1350,0%
201102,W-8486-UQ,0,0,0%
201103,W-8067-UN,0,1358,0%
201104,W-8939-UQ,0,1347,0%
201105,W-8362-UQ,0,1318,0%
201109,W-9074-UQ,0,1361,0%
201110,W-9077-UQ,0,1337,0%
201111,W-9071-UQ,1,1365,0.07%
201112,W-9122-UQ,0,1361,0%
201113,W-9068-UQ,0,1376,0%
201114,W-9070-UQ,0,1335,0%
201115,W-9075-UQ,0,1378,0%
201116,W-9073-UQ,0,1387,0%
201118,W-9581-US,0,0,0%
201121,B-9480-CXR,0,0,0%
201124,B-9469-CXR,1,1357,0.07%
201125,B-9308-CXR,0,0,0%
201126,B-9309-CXR,1,1380,0.07%
201127,B-9305-CXR,0,0,0%
201128,B-9224-CXR,0,1345,0%
201129,B-9225-CXR,0,1345,0%
201130,B-9306-CXR,0,1361,0%
201131,W-9230-UQ,0,1375,0%
201132,W-9124-UQ,322,1347,23.9%
201136,W-9226-UQ,0,1334,0%
201137,W-9232-UQ,175,1423,12.3%
201138,W-9422-UQ,0,0,0%
201139,W-9426-UQ,0,1381,0%
201140,W-9067-UQ,0,1378,0%
201143,B-9468-CXR,0,1351,0%
201144,W-9223-UQ,0,1354,0%
201145,W-9421-UQ,0,1335,0%
201149,B-9467-CXR,0,1353,0%
201152,B-9409-CXR,0,1373,0%
201153,B-9022-CEU,0,268,0%
201154,B-9481-CXR,0,1337,0%
201155,W-9255-UQ,0,0,0%
201156,W-9424-UQ,0,1340,0%
201157,B-9478-CXR,0,0,0%
201159,W-9425-UQ,0,1335,0%
201160,W-9527-US,1,1360,0.07%
201161,W-9525-US,165,1361,12.12%
201162,W-9524-US,0,1345,0%
201164,B-9408-CXR,0,0,0%
201165,B-9530-CXR,0,1357,0%
201166,B-9532-CXR,0,1395,0%
201167,B-9528-CXR,0,1324,0%
201168,B-9529-CXR,0,1355,0%
201169,W-9526-US,0,1343,0%
