VID,Devicecode,Model,Imei,Cellnumber,Provider,"Last Latitude","Last Longitude","Last Location"
202119,B-9649-CXR,FM-1202,357454073161752,081519764738,Matrix,-6.209475,106.9095266,"Jatinegara - Cakung - Jakarta Timur"
202153,B-9736-CXR,FM-1202,356307045614939,081132020899,Halo,-6.1508245,106.6749773,"Jurumudi Baru - Tangerang - Banten"
202154,B-9737-CXR,FM-1202,357454075002533,081132020897,Halo,-6.969045,107.56489,"Rahayu - Jawa Barat - 40233"
202158,B-9735-CXR,FM-1202,357454075006401,081519764660,Matrix,-2.9751883,104.7663383,"Duku - Palembang - Sumatera Selatan"
202159,B-9759-CXR,FM-1202,357454075045250,081519764643,Matrix,-6.28052,106.9624133,"Komplek Pondok Surya Mandala - Bekasi - Jawa Barat"
202162,B-9754-CXR,FM-1202,357454075056315,081519764667,Matrix,-6.2183116,106.535375,"Suka Damai - Kabupaten Tangerang - Banten"
202163,B-9751-CXR,FM-1202,357454075061109,081519764663,Matrix,-6.1510816,106.6755183,"Jurumudi Baru - Tangerang - Banten"
202164,B-9734-CXR,FM-1202,357454075055580,081132020908,Halo,-6.1508616,106.6755833,"Jurumudi Baru - Tangerang - Banten"
202167,B-9755-CXR,FM-1202,357454075059335,081519764576,Matrix,-6.1632683,106.945345,"Rorotan - Cilincing - Cilincing"
202230,B-9867-CXR,FM-1202,356173062860122,081513701431,Matrix,-7.0092998,110.468763,"Palebon - Pedurungan - Semarang"
202232,B-9860-CXR,FM-1202,357454076233418,081132023728,Halo,-6.2699583,107.0429416,"Toyogiri - Bekasi - Jawa Barat"
202117,B-9650-CXR,FM-1202,357454073261594,081519764521,Matrix,-6.124175,106.6860066,"Kamal - Kalideres - Jakarta Barat"
202118,B-9651-CXR,FM-1202,357454073259044,081519764482,Matrix,-6.34645,106.9857633,"Cikiwul - Jawa Barat - 17151"
202122,B-9648-CXR,FM-1202,357454073164194,081132023740,Halo,-6.578015,106.8182366,"RW 05 - Tanah Baru - Tegalgundil"
202135,B-9674-CXR,FM-1202,357454073247700,081519764816,Matrix,-6.32081,107.023515,"Cimuning - Jawa Barat - 17155"
202216,B-9758-CXR,FM-1202,357454076233657,08155257435,Matrix,-6.1632216,106.94583,"Rorotan - Cilincing - Cilincing"
201150,B-9020-CEU,FM-36,867060035328513,08551838442,Matrix,0,0," -  - "
201148,B-9021-CEU,FM-36,867060035281449,081575098371,Matrix,-6.1526028,106.6723607,"Jurumudi Baru - Tangerang - Banten"
202300,B-9411-CXR,FMA,352094089404393,081514388945,Matrix,-6.4886883,106.88157,"Puspanegara - Jawa Barat - 16917"
202284,B-9753-CXR,FMA,352094088327264,081514389030,Matrix,-6.0977383,106.9834916,"Pantaimakmur - Jawa Barat - 17218"
202171,B-9414-CXR,FM-1202,357454075061042,081519764677,Matrix,-6.3112466,107.1457983,"Pasirsari - Jawa Barat - 17530"
202176,B-9416-CXR,FM-1202,357454075062370,081519764617,Matrix,-6.1716916,106.8949116,"Kelapa Gading Barat - Kelapa Gading - Jakarta Utara"
202259,B-9756-CXR,FM-1202,357454076229085,081514388976,Matrix,-6.296855,106.8287766,"Jati Padang - Pasar Minggu - Jakarta Selatan"
