VID,Devicetime,lat(API),long(API),id,lat(RAW),long(RAW),Posisi
202543,"2021-07-15 10:29:30",0,0,77682765,-6.1588351,106.7688387,"Kedoya Utara - Kebon Jeruk"
VID,Devicetime,lat(API),long(API),id,lat(RAW),long(RAW),Posisi
202543,"2021-07-15 10:29:30",0,0,77682765,-6.1588351,106.7688387,"Kedoya Utara - Kebon Jeruk - Kebon Jeruk"
VID,Devicetime,lat(API),long(API),id,lat(RAW),long(RAW),Posisi
202543,"2021-07-15 00:02:42",0,0,77240122,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:16:31",0,0,77248892,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:17:31",0,0,77249591,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:21:31",0,0,77252409,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:05:42",0,0,77242206,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:22:31",0,0,77253092,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:34:31",0,0,77261692,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:47:31",0,0,77270382,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:25:31",0,0,77255242,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:42:31",0,0,77266895,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:26:31",0,0,77255969,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:27:31",0,0,77256649,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:28:31",0,0,77257344,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:29:31",0,0,77258033,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:43:31",0,0,77267594,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:46:31",0,0,77269702,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:48:31",0,0,77271086,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:04:31",0,0,77281880,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:57:31",0,0,77276946,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:11:31",0,0,77286900,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 00:58:31",0,0,77277655,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:05:31",0,0,77282602,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:00:31",0,0,77279067,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:02:31",0,0,77280458,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:03:31",0,0,77281155,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:22:31",0,0,77294180,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:23:32",0,0,77294877,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:33:33",0,0,77302015,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:24:32",0,0,77295573,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:43:32",0,0,77308086,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:34:32",0,0,77302813,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:25:33",0,0,77296299,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:26:32",0,0,77297015,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:35:32",0,0,77303523,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:27:32",0,0,77297702,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:28:32",0,0,77298452,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:36:33",0,0,77304235,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:14:31",0,0,77288975,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:15:31",0,0,77289693,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:16:31",0,0,77290386,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:17:31",0,0,77290663,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:30:32",0,0,77299839,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:37:32",0,0,77304940,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:31:32",0,0,77300538,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:21:31",0,0,77293471,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
202543,"2021-07-15 01:32:33",0,0,77301265,-6.2065314,106.6880761,"Neroktog - Tangerang - Banten"
