VID,Devicecode,Model,Imei,Cellnumber,Provider,Last Update,Last Latitude,Last Longitude,Last Location,Resserch
201063,W-8879-U,FM-42,352848029424526,81132241191,Halo,7/9/2021 10:00,-7.3597728,112.7763456,Tambak Sawah - Waru - Sidoarjo,Voice Mail
201127,B-9305-CXR,FMA,352093082788158,81132006564,Halo,7/12/2021 14:44,-7.3597166,112.7766883,Tambak Sawah - Waru - Sidoarjo,Voice Mail
201175,W-9578-US,FMA,352094089805045,81133357608,Halo,7/9/2021 11:30,-6.3084833,106.9729083,Villa Nusa Indah 1 - Cipendawa - Bekasi,Voice Mail
201183,B-9609-CXR,FMA,352094089387309,81132275068,Halo,7/7/2021 11:11,-2.9249333,104.74012,Suka Bangun - Palembang - Sumatera Selatan,Voice Mail
201208,W-8945-UQ,FM-1202,357454076237526,81132020939,Halo,7/9/2021 9:58,-7.359755,112.7762983,Tambak Sawah - Waru - Sidoarjo,Voice Mail
201210,W-8573-UT,FM-1202,357454076229192,81132264118,Halo,6/30/2021 5:26,-6.30771,106.9730033,Villa Nusa Indah 1 - Cipendawa - Bekasi,Voice Mail
201221,B-9304-CXR,FMA,352094089404583,81132006568,Halo,7/12/2021 15:39,-6.3087066,106.97363,Villa Nusa Indah 1 - Cipendawa - Bekasi,Voice Mail
201239,W-8823-UT,FMA,352094088273823,81132020902,Halo,7/3/2021 10:49,-6.3073066,106.9735383,Villa Nusa Indah 1 - Cipendawa - Bekasi,Voice Mail
201240,W-8572-UT,FMA,352094088978165,8113593668,Halo,7/12/2021 19:30,-6.3071816,106.9729983,Villa Nusa Indah 1 - Cipendawa - Bekasi,Voice Mail
201253,W-8753-UT,FMA,352094086946008,81132020499,Halo,7/10/2021 1:21,-7.4573366,112.7364733,PT. Pineleng Indah Cemerlang - Sidoarjo - Sidoarjo,Voice Mail
202012,W-9231-UQ,FM-1202,356173066164182,81132021207,Halo,6/29/2021 13:35,-6.2904658,106.7365856,Sawah - Tangerang Selatan - Banten,Voice Mail
202123,B-9645-CXR,FM-1202,357454073163725,81132020911,Halo,6/29/2021 10:54,-6.5576316,106.7711866,Curug Mekar - Jawa Barat - 16113,Voice Mail
202134,B-9638-CXR,FM-1202,357454073001768,81132021199,Halo,7/8/2021 12:40,-7.3902916,112.7294833,Gedangan - Gedangan - Sidoarjo,Voice Mail
202211,B-9830-CXR,FM-1202,357454076230976,81514018128,Matrix,6/30/2021 16:13,-6.1893566,106.8729183,Rawasari - Cempaka Putih - Jakarta Pusat,Voice Mail
202250,B-9874-CXR,FM-1202,357454076229630,81132023097,Halo,7/12/2021 13:55,-7.3597083,112.7764183,Tambak Sawah - Waru - Sidoarjo,Voice Mail
202267,B-9763-CXR,FMA,352094089039520,81514388979,Matrix,7/5/2021 13:26,-7.33782,112.7556733,Kawasan Industri Berbek - Berbek - Waru,Voice Mail
202431,B-9285-CXS,FM-36,867060034763645,81514007367,Matrix,7/11/2021 22:38,-6.3502099,107.1505776,Delta Silicon 2 - Serang - Jawa Barat,Voice Mail
202581,B-9588-CXR,FM-36,864403041506396,8551838314,Matrix,7/12/2021 23:13,-7.1015366,112.9096405,Pangeleyan - Bangkalan - Jawa Timur,Voice Mail
