VID,Devicetime,Servertime,HTML Response,XML Response,Last Posttime,Comment
201003,7/13/2021 11:52,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201011,7/13/2021 11:52,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201016,7/13/2021 11:52,7/13/2021 11:52,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:52,Update
201022,7/13/2021 11:52,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201025,7/13/2021 11:52,7/13/2021 11:52,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201031,7/13/2021 11:53,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201034,7/13/2021 11:52,7/13/2021 11:52,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:52,Update
201035,7/13/2021 11:52,7/13/2021 11:52,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201036,7/13/2021 11:52,7/13/2021 11:52,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201037, Tidak ada data di API,,,,,
201038,7/13/2021 11:54,7/13/2021 11:54,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:54,Update
201044,7/13/2021 11:53,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201046,7/13/2021 11:53,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201048,7/13/2021 11:53,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201058,7/13/2021 11:54,7/13/2021 11:54,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:54,Update
201059,7/13/2021 11:53,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:54,Update
201063,7/9/2021 10:00,7/9/2021 10:00,200,"{""data_failed"":[],""message"":""Success""}",7/9/2021 10:00,CPU Reset
201064,7/13/2021 11:53,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:54,Update
201067, Tidak ada data di API,,,,,
201071,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201072,7/13/2021 11:54,7/13/2021 11:54,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:54,Update
201074,7/13/2021 11:54,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201075,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201077,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201078,7/13/2021 11:54,7/13/2021 11:54,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201079,7/13/2021 11:54,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201080,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201081,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201082,7/13/2021 11:54,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201083,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201084,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201085,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201086,7/13/2021 11:54,7/13/2021 11:54,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201087,7/13/2021 11:54,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201088,7/13/2021 11:54,7/13/2021 11:54,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201089,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201090,7/13/2021 11:51,7/13/2021 11:51,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:51,Update
201092,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201093,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201094,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201095,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201096,7/13/2021 11:54,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201097,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201100,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201102, Tidak ada data di API,,,,,
201103,7/13/2021 11:56,7/13/2021 11:56,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:56,Update
201104,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:56,Update
201105,7/13/2021 11:51,7/13/2021 11:51,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:52,Update
201109,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201110,7/13/2021 11:56,7/13/2021 11:56,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:56,Update
201111,7/13/2021 11:56,7/13/2021 11:56,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:56,Update
201112,7/13/2021 11:55,7/13/2021 11:56,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:56,Update
201113,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201114,7/13/2021 11:56,7/13/2021 11:56,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:56,Update
201115,7/13/2021 11:56,7/13/2021 11:56,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:56,Update
201116,7/13/2021 11:53,7/13/2021 11:53,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:53,Update
201118,7/13/2021 11:55,7/13/2021 11:55,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:55,Update
201121, Tidak ada data di API,,,,,
201124,7/13/2021 11:57,7/13/2021 11:57,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:57,Update
201125,7/9/2021 1:25,7/9/2021 1:25,200,"{""data_failed"":[],""message"":""Success""}",7/9/2021 1:26,"Battery Power Low (66,4899)"
201126,7/13/2021 11:57,7/13/2021 11:57,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:57,Update
201127,7/12/2021 14:44,7/12/2021 14:44,200,"{""data_failed"":[],""message"":""Success""}",7/12/2021 14:44,CPU Reset
201128,7/13/2021 11:57,7/13/2021 11:57,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:57,Update
201129,7/13/2021 11:57,7/13/2021 11:57,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:57,Update
201130,7/13/2021 11:57,7/13/2021 11:57,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:57,Update
201131,7/13/2021 11:57,7/13/2021 11:57,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:57,Update
201132,7/13/2021 11:54,7/13/2021 11:54,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:54,Update
201136,7/13/2021 11:57,7/13/2021 11:57,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:57,Update
201137,7/13/2021 11:57,7/13/2021 11:57,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:57,Update
201138, Tidak ada data di API,,,,,
201139,7/13/2021 11:58,7/13/2021 11:58,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:59,Update
201140,7/13/2021 11:58,7/13/2021 11:58,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:58,Update
201143,7/13/2021 11:58,7/13/2021 11:58,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:58,Update
201144,7/13/2021 11:58,7/13/2021 11:58,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:58,Update
201145,7/13/2021 11:58,7/13/2021 11:58,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:58,Update
201149,7/13/2021 11:58,7/13/2021 11:58,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:58,Update
201152,7/13/2021 11:58,7/13/2021 11:58,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:58,Update
201153,7/12/2021 15:02,7/12/2021 15:02,200,"{""data_failed"":[],""message"":""Success""}",7/12/2021 15:03,"Battery Power Low (66,227)"
201154,7/13/2021 11:58,7/13/2021 11:58,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:58,Update
201155,6/29/2021 13:58,6/29/2021 13:58,200,"{""data_failed"":[],""message"":""Success""}",6/29/2021 13:59,"Battery Power Low (66,5662)"
201156,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:59,Update
201157,7/5/2021 22:01,7/5/2021 22:01,200,"{""data_failed"":[],""message"":""Success""}",7/5/2021 22:02,"Battery Power Low (66,5802)"
201159,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201160,7/13/2021 11:59,7/13/2021 12:00,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201161,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:59,Update
201162,7/13/2021 11:35,7/13/2021 11:35,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:36,Update
201164,7/12/2021 14:57,7/12/2021 14:57,200,"{""data_failed"":[],""message"":""Success""}",7/12/2021 14:57,"Battery Power Low (66,5261)"
201165,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201166,7/13/2021 12:00,7/13/2021 12:00,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201167,7/13/2021 12:00,7/13/2021 12:00,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201168,7/13/2021 12:00,7/13/2021 12:00,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201169,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201171,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201172,7/13/2021 11:56,7/13/2021 11:56,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 11:56,Update
201174,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201175,7/9/2021 11:30,7/9/2021 11:30,200,"{""data_failed"":[],""message"":""Success""}",7/9/2021 11:30,CPU Reset
201176,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201177,7/13/2021 12:00,7/13/2021 12:00,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201178,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201179,7/13/2021 12:00,7/13/2021 12:00,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201180,7/13/2021 12:01,7/13/2021 12:01,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:01,Update
201181,7/13/2021 12:00,7/13/2021 12:01,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:01,Update
201182,7/13/2021 12:01,7/13/2021 12:01,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:01,Update
201183,7/7/2021 11:11,7/7/2021 11:11,200,"{""data_failed"":[],""message"":""Success""}",7/7/2021 11:11,CPU Reset
201184,7/13/2021 12:01,7/13/2021 12:02,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:02,Update
201185,7/13/2021 12:01,7/13/2021 12:01,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:01,Update
201186,7/7/2021 15:39,7/7/2021 15:39,200,"{""data_failed"":[],""message"":""Success""}",7/7/2021 15:40,"Battery Power Low (66,0)"
201188,7/13/2021 12:02,7/13/2021 12:02,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:02,Update
201190,7/13/2021 12:02,7/13/2021 12:02,null,null,null,"Temp Error (72,3000)"
201191,7/13/2021 11:59,7/13/2021 11:59,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201192,7/13/2021 12:02,7/13/2021 12:02,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:02,Update
201193, Tidak ada data di API,,,,,
201194,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:03,Update
201195,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:03,Update
201196,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:03,Update
201197,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:04,Update
201198,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:03,Update
201199,7/13/2021 12:02,7/13/2021 12:02,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:03,Update
201200,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:03,Update
201201,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:04,Update
201202,7/13/2021 11:59,7/13/2021 12:00,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:00,Update
201204,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:03,Update
201205,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:04,Update
201206,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:04,Update
201207,7/13/2021 12:03,7/13/2021 12:03,200,"{""data_failed"":[],""message"":""Success""}",7/13/2021 12:03,Update
