VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202066,"2021-07-08 14:37:51","2021-07-08 14:37:54",null,null,null,"Temp Error (72,3000)"
202092,"2021-07-08 14:39:06","2021-07-08 14:39:10",null,null,null,"Temp Error (72,2000)"
202169,"2021-07-08 14:38:59","2021-07-08 14:39:03",null,null,null,"Temp Error (72,3000)"
202179,"2021-07-08 14:39:41","2021-07-08 14:39:44",null,null,null,"Temp Error (72,2000)"
202195,"2021-07-01 00:12:55","2021-07-01 00:13:11",null,null,null,"Temp Error (72,3000)"
202214,"2021-07-04 21:24:07","2021-07-04 21:24:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-04 21:24:17","Temp Error (72,3000)"
202231,"2021-06-30 21:11:11","2021-06-30 21:11:14",200,"{""data_failed"":[],""message"":""Success""}","2021-06-30 21:11:25","Temp Error (72,3000)"
202237,"2021-07-08 14:41:18","2021-07-08 14:41:21",null,null,null,"Temp Error (72,3000)"
202259,"2021-07-08 14:40:54","2021-07-08 14:40:57",null,null,null,"Temp Error (72,3000)"
202341,"2021-07-08 14:42:50","2021-07-08 14:42:53",null,null,null,"Temp Error (72,850)"
202360,"2021-07-08 14:42:23","2021-07-08 14:42:36",null,null,null,"Temp Error (72,3000)"
202377,"2021-07-08 14:43:21","2021-07-08 14:43:43",null,null,null,"Temp Error (72,3000)"
202385,"2021-07-08 14:44:04","2021-07-08 14:44:25",null,null,null,"Temp Error (72,3000)"
202393,"2021-07-08 14:42:53","2021-07-08 14:43:11",null,null,null,"Temp Error (72,3000)"
202401,"2021-07-04 01:28:13","2021-07-04 01:31:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-04 01:33:04","Temp Error (72,1276)"
202406,"2021-07-08 14:45:31","2021-07-08 14:45:34",null,null,null,"Temp Error (72,3000)"
202413,"2021-06-29 13:25:55","2021-06-29 13:25:59",200,"{""data_failed"":[],""message"":""Success""}","2021-06-29 13:26:14","Temp Error (72,3000)"
202437,"2021-07-06 23:40:28","2021-07-06 23:42:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 23:42:20","Temp Error (72,1276)"
202460,"2021-07-03 03:08:04","2021-07-03 03:08:07",200,"{""data_failed"":[],""message"":""Success""}","2021-07-03 03:08:23","Battery Power Low (,0)"
202463,"2021-07-04 08:52:15","2021-07-04 08:52:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-04 08:52:35","Temp Error (72,1276)"
202478,"2021-07-08 14:16:53","2021-07-08 14:16:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-08 14:17:15",Update
202484,"2021-06-29 01:19:33","2021-06-29 01:19:35",200,"{""data_failed"":[],""message"":""Success""}","2021-06-29 01:19:52","Temp Error (72,0)"
