VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
201003,"2021-07-07 10:31:57","2021-07-07 10:32:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:32:11",Update
201011,"2021-07-05 13:16:13","2021-07-05 13:16:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-05 13:16:26","Battery Power Low (66,6092)"
201016,"2021-07-07 10:31:51","2021-07-07 10:31:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:32:11",Update
201022,"2021-07-07 10:32:28","2021-07-07 10:32:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:32:41",Update
201025,"2021-07-07 10:31:34","2021-07-07 10:31:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:31:50",Update
201031,"2021-07-07 10:32:01","2021-07-07 10:32:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:32:21",Update
201034,"2021-07-07 10:32:21","2021-07-07 10:32:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:32:32",Update
201035,"2021-07-07 10:32:30","2021-07-07 10:32:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:32:42",Update
201036,"2021-07-07 10:31:51","2021-07-07 10:31:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:32:11",Update
201037," Tidak ada data di API"
201038,"2021-07-07 10:32:38","2021-07-07 10:32:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:32:52",Update
201043," Tidak ada data di API"
201044,"2021-07-07 10:34:02","2021-07-07 10:34:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:34:14",Update
201046,"2021-07-07 10:34:00","2021-07-07 10:34:05",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:34:13",Update
201048,"2021-07-07 10:33:25","2021-07-07 10:33:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:33:33",Update
201058,"2021-07-07 10:33:28","2021-07-07 10:33:31",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:33:42",Update
201059,"2021-07-07 10:33:30","2021-07-07 10:33:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:33:43",Update
201063,"2021-07-06 14:13:11","2021-07-06 14:13:14",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 14:13:24","CPU Reset"
201064,"2021-07-07 10:34:03","2021-07-07 10:34:06",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:34:14",Update
201067,"2021-06-24 16:26:48","2021-06-24 16:27:10",200,"{""data_failed"":[],""message"":""Success""}","2021-06-24 16:27:13","CPU Reset"
201070," Tidak ada data di API"
201071,"2021-07-07 10:34:57","2021-07-07 10:34:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:18",Update
201072,"2021-07-07 10:35:35","2021-07-07 10:35:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:57",Update
201074,"2021-07-07 10:34:57","2021-07-07 10:35:00",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:19",Update
201075,"2021-07-07 10:32:59","2021-07-07 10:35:40",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:56",Update
201077,"2021-07-06 06:41:36","2021-07-06 06:41:52",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 06:42:00","CPU Reset"
201078,"2021-07-07 10:35:10","2021-07-07 10:35:14",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:26",Update
201079,"2021-07-07 10:34:57","2021-07-07 10:35:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:19",Update
201080,"2021-07-07 10:35:01","2021-07-07 10:35:05",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:25",Update
201081,"2021-07-07 10:34:50","2021-07-07 10:34:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:15",Update
201082,"2021-07-07 10:34:52","2021-07-07 10:35:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:18",Update
201083,"2021-07-07 10:35:35","2021-07-07 10:35:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:55",Update
201084,"2021-07-07 10:35:31","2021-07-07 10:35:34",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:46",Update
201085,"2021-07-07 10:34:56","2021-07-07 10:34:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:20",Update
201086,"2021-07-07 10:35:31","2021-07-07 10:35:34",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:46",Update
201087,"2021-07-07 10:34:57","2021-07-07 10:34:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:20",Update
201088,"2021-07-07 10:35:12","2021-07-07 10:35:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:36",Update
201089,"2021-07-07 10:34:55","2021-07-07 10:34:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:19",Update
201090,"2021-07-07 10:33:36","2021-07-07 10:33:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:33:54",Update
201092,"2021-07-07 10:34:45","2021-07-07 10:34:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:34:55",Update
201093,"2021-07-07 10:34:24","2021-07-07 10:34:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:34:35",Update
201094,"2021-07-07 10:35:24","2021-07-07 10:35:27",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:45",Update
201095,"2021-07-07 10:34:56","2021-07-07 10:35:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:26",Update
201096,"2021-07-07 10:35:32","2021-07-07 10:35:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:56",Update
201097,"2021-07-07 10:34:58","2021-07-07 10:35:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:19",Update
201100,"2021-07-07 10:34:46","2021-07-07 10:34:50",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:34:55",Update
201102," Tidak ada data di API"
201103,"2021-07-06 16:52:32","2021-07-06 16:52:34",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 16:52:46","Battery Power Low (66,0)"
201104,"2021-07-07 10:35:40","2021-07-07 10:35:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:35:56",Update
201105,"2021-07-07 10:34:09","2021-07-07 10:34:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:34:37",Update
201106," Tidak ada data di API"
201108," Tidak ada data di API"
201109,"2021-07-07 10:36:48","2021-07-07 10:37:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:19",Update
201110,"2021-07-07 10:37:15","2021-07-07 10:37:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:29",Update
201111,"2021-07-07 10:38:17","2021-07-07 10:38:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:29",Update
201112,"2021-07-07 10:37:26","2021-07-07 10:37:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:39",Update
201113,"2021-07-07 10:38:10","2021-07-07 10:38:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:20",Update
201114,"2021-07-07 10:37:48","2021-07-07 10:37:52",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:58",Update
201115,"2021-07-07 10:38:11","2021-07-07 10:38:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:29",Update
201116,"2021-07-07 10:37:20","2021-07-07 10:37:40",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:52",Update
201118,"2021-07-07 10:37:34","2021-07-07 10:37:38",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:52",Update
201121," Tidak ada data di API"
201124,"2021-07-07 10:38:51","2021-07-07 10:38:55",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:39:01",Update
201125,"2021-07-07 10:38:25","2021-07-07 10:38:27",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:41",Update
201126,"2021-07-07 10:38:24","2021-07-07 10:38:28",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:40",Update
201127,"2021-07-07 10:38:23","2021-07-07 10:38:26",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:39",Update
201128,"2021-07-07 10:37:43","2021-07-07 10:37:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:37:58",Update
201129,"2021-07-07 10:38:44","2021-07-07 10:38:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:39:00",Update
201130,"2021-07-07 10:38:07","2021-07-07 10:38:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:20",Update
201131,"2021-07-07 10:38:22","2021-07-07 10:38:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:39",Update
201132,"2021-07-07 10:31:50","2021-07-07 10:38:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-07 10:38:18",Update
201134," Tidak ada data di API"
201135," Tidak ada data di API"
