VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202119,"2021-07-08 10:55:50","2021-07-08 10:55:53",null,null,null,"Temp Error (,0)"
202153,"2021-06-30 09:42:54","2021-06-30 09:42:58",200,"{""data_failed"":[],""message"":""Success""}","2021-06-30 09:43:04","Temp Error (,0)"
202154,"2021-06-30 09:43:15","2021-06-30 09:43:18",200,"{""data_failed"":[],""message"":""Success""}","2021-06-30 09:43:24","Temp Error (,0)"
202158,"2021-07-08 10:57:19","2021-07-08 10:57:23",null,null,null,"CPU RESET"
202159,"2021-07-08 10:57:18","2021-07-08 10:57:21",null,null,null,"Temp Error (,0)"
202162,"2021-07-08 10:58:02","2021-07-08 10:58:17",null,null,null,"CPU RESET"
202163,"2021-07-08 10:58:12","2021-07-08 10:58:15",null,null,null,"Temp Error (,0)"
202164,"2021-06-30 09:43:14","2021-06-30 09:43:17",200,"{""data_failed"":[],""message"":""Success""}","2021-06-30 09:43:23","Temp Error (,0)"
202167,"2021-07-08 10:59:03","2021-07-08 10:59:05",null,null,null,"Temp Error (,0)"
202230,"2021-07-08 10:59:17","2021-07-08 10:59:20",null,null,null,"Temp Error (,0)"
202232,"2021-07-08 11:00:01","2021-07-08 11:00:04",null,null,null,"Temp Error (,0)"
202117,"2021-07-08 10:59:42","2021-07-08 10:59:44",null,null,null,"CPU RESET"
202118,"2021-07-08 11:01:45","2021-07-08 11:01:48",null,null,null,"Temp Error (,0)"
202122,"2021-07-08 11:01:59","2021-07-08 11:02:03",null,null,null,"Temp Error (,0)"
202135,"2021-07-07 22:30:48","2021-07-08 01:11:07",null,null,null,"Temp Error (72,3000)"
202216,"2021-07-08 10:48:23","2021-07-08 10:48:26",null,null,null,"CPU RESET"
201150,"2021-06-11 21:19:58","2021-07-06 00:21:44",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 00:22:01","Battery Power Low (66,10)"
201148,"2021-07-06 00:13:06","2021-07-06 00:13:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-06 00:13:17","CPU Reset"
202300,"2021-07-08 11:03:28","2021-07-08 11:03:32",null,null,null,"CPU RESET"
