VID,Devicecode,Model,Imei,Cellnumber,Provider
202612,B-9944-CXS,FM-36,864403043148866,81132020510,Halo
202221,B-9417-CXR,FM-1202,357454075537389,81514007504,Matrix
202576,B-9178-CXR,FM-36,867060031280312,8551838469,Matrix
202279,B-9854-CXR,FMA,352094089740150,81514389017,Matrix
202020,B-9622-CXR,FMA,352093082783860,8551838370,Matrix
202049,B-9203-CXR,FM-1202,356173063405463,81574081268,Matrix
201025,B-9291-CXR,FM-42,352848029790777,8165489365,Matrix
202110,B-9582-CXR,FM-1202,357454073125930,8158321192,Matrix
202130,B-9632-CXR,FM-1202,357454073166595,81519764770,Matrix
202410,B-9239-CXR,FMA,352093082647800,81514007531,Matrix
202422,B-9259-CXS,FM-36,867060035316252,81514008490,Matrix
202242,B-9628-CXR,FM-1202,357454076259108,81514020682,Matrix
202352,B-9049-CXS,FMA,352093082792374,81514020721,Matrix
201077,W-9215-UP,FMA,352094088763302,81514007300,Matrix
202138,B-9670-CXR,FM-1202,357454073082669,81519764805,Matrix
202257,B-9894-CXR,FM-1202,357454075038586,81514388971,Matrix
202370,B-9188-CXS,FMA,352094088978082,81132021184,Halo
202414,B-9206-CXS,FMA,352093082646737,81514007230,Matrix
202231,B-9873-CXR,FM-1202,357454076234572,81132261481,Halo
202109,B-9596-CXR,FM-1202,357454073124370,8158321323,Matrix
202362,B-9051-CXS,FMA,352094086794317,81514021054,Matrix
202023,B-9452-CXR,FM-1202+J,352093083271444,8158171426,Matrix
202608,B-9590-CXR,FM-36,864403041491136,81513701502,Matrix
202039,B-9402-CXR,FMA,352093082557959,81575096618,Matrix
202404,B-9019-CXS,FMA,352093082642033,81514007559,Matrix
202188,B-9762-CXR,FM-1202,357454075078145,81519764584,Matrix
202254,W-8193-UT,FMA,352094089030289,81514388996,Matrix
202355,B-9024-CXS,FMA,352094088669301,81514019243,Matrix
202271,B-9774-CXR,FMA,352094089716960,81132023747,Halo
202575,B-9373-CXR,FM-36,867060031253483,8551838466,Matrix
202105,B-9504-CXR,FM-1200,356173063427905,8157612950,Matrix
202083,B-9266-CXR,FM-1200,356173063723345,8157614960,Matrix
202420,B-9256-CXS,FM-36,867060035281639,81514007363,Matrix
202140,B-9621-CXR,FM-1202,357454073081919,81519764801,Matrix
202041,B-9396-CXR,FM-1202,357454073137075,8158320970,Matrix
202139,B-9633-CXR,FM-1202,357454073082149,81519764802,Matrix
202128,B-9640-CXR,FM-1202,357454073166223,81132023718,Halo
202128,B-9640-CXR,FM-1202,0,81132023718,Halo
202561,B-9712-CXS,FM-36,864403042100884,81132275061,Halo
202077,B-9261-CXR,FM-1202,356173063225580,8157615581,Matrix
202136,B-9646-CXR,FM-1202,357454073165654,81519764838,Matrix
202038,B-9376-CXR,FM-1202+J,356173065868379,81575096597,Matrix
202173,B-9718-CXR,FM-1202,357454075063352,81519764621,Matrix
202173,B-9718-CXR,FM-1202,0,81519764621,Matrix
202361,B-9055-CXS,FMA,352094088776684,81514020995,Matrix
202268,B-9725-CXR,FMA,352094089030354,81514389031,Matrix
202097,B-9502-CXR,FMA,352093083125400,8157612687,Matrix
202243,B-9879-CXR,FM-1202,357454076229051,81514388974,Matrix
202102,B-9558-CXR,FM-1202,356173063292903,8157614405,Matrix
202198,B-9779-CXR,FM-1202,357454075205730,81519764536,Matrix
