VID,"Device Code",Imei,"Model GPS",Cellnumber,"Company GROUP",Devicetime,Servertime,"Last Location",Comment
309027,N-9823-TE,352848024232866,FM-32,08553204627,309:{6},"2021-07-22 08:53:14.391","2021-07-22 08:54:20.085",Update,
309039,B-9175-UCN,352094082645489,FM-32,08553205639,309:{7},"2021-07-20 07:50:01","2021-07-20 07:50:15.079","CPU Reset Recomendation","Penjaringan - Penjaringan - Jakarta Utara"
309025,L-8034-WD,352848024126894,FM-32,08553204625,309:{4},"2021-06-30 07:11:59.09","2021-06-30 07:12:27.482","CPU Reset Recomendation","Gempol - Pasuruan - Jawa Timur"
309068,H-1567-WA,352094087546138,FMA,081514007262,309:{6},"2021-02-26 09:17:20","2021-02-26 09:17:30","CPU Reset Recomendation","Kawasan Industri Candi - Ngaliyan - Semarang"
309038,B-9241-PCI,352094085652086,FM-32,08553205638,309:{7},"2021-07-13 05:58:26","2021-07-20 03:38:23.123","CPU Reset Recomendation","Penjaringan - Penjaringan - Jakarta Utara"
309011,L-9196-VZ,352094085744917,FM-1200,08553204611,309:{5},"2021-07-08 08:52:30","2021-07-08 08:52:43.555","CPU Reset Recomendation","Jeruk Purut - Pasuruan - Jawa Timur"
309036,B-9790-TCG,352094089652439,FM-32,08553204636,309:{1;7},"2021-07-22 09:38:04","2021-07-22 09:39:01.898",Update,
309058,N-9930-TK,356307045648705,FM-1200,081514007262,309:{2},"2021-07-14 14:52:03.24","2021-07-14 14:52:06.503","CPU Reset Recomendation","Jeruk Purut - Pasuruan - Jawa Timur"
309022,N-9185-TI,352094087854813,FM-32,08553204622,309:{3},"2021-07-21 20:24:12","2021-07-21 20:24:25.471","CPU Reset Recomendation","Kepulungan - Pasuruan - Jawa Timur"
309007,N-9023-TJ,352848023021450,FM-32,08553204607,309:{3},"2021-07-09 09:12:48.503","2021-07-09 09:12:59.987","CPU Reset Recomendation","Gempol - Pasuruan - Jawa Timur"
309037,B-9709-IW,356173063226208,FM-1202,08553205637,309:{7},"2021-07-22 09:21:42","2021-07-22 09:27:36.774",Update,
309051,N-8701-TD,352093082775445,FM-42,08553205651,309:{3},"2021-07-09 09:09:34","2021-07-09 09:09:47.907","Battery Power Low (66,2993)","Gempol - Pasuruan - Jawa Timur"
309013,L-8136-WS,352848023144682,FM-32,08553204613,309:{2},"2021-07-08 15:47:10.951","2021-07-08 15:47:46.466","CPU Reset Recomendation","Jeruk Purut - Pasuruan - Jawa Timur"
309005,N-8881-TC,356307047689855,FM-32,08553204605,309:{1},"2021-07-22 10:04:50","2021-07-22 10:10:18.61",Update,
309028,L-9318-WE,352848024167336,FM-32,08553204628,309:{6}," null"," null"," Tidak ada data di RAW"
309010,N-9147-TJ,352848023020429,FM-32,08553204610,309:{3},"2021-07-09 08:57:36.381","2021-07-09 08:58:05.653","CPU Reset Recomendation","Gempol - Pasuruan - Jawa Timur"
309029,N-9767-TI,352848024177806,FM-32,08553204629,309:{6}," null"," null"," Tidak ada data di RAW"
