VID,"Device Code",Imei,"Model GPS",Cellnumber,"Company GROUP",Devicetime,Servertime,"Last Location",Comment
309058,N-9930-TK,356307045648705,FM-1200,081514007262,309:{2},"2021-07-13 08:21:28.41","2021-07-13 08:21:30.457",Update,
217001,L-9961-UI,867060031281120,FM-36,081513701422,217:{0},"2021-07-13 08:40:19","2021-07-13 08:40:36.769",Update,
331006,W-9649-NB,352848023142496,FM-32,08553204376,331:{2},"2021-07-13 08:40:48.67","2021-07-13 08:41:10.99",Update,
309032,H-1455-LA,352848024119253,FM-32,08553204632,309:{6},"2021-07-13 08:40:57.961","2021-07-13 08:41:09.897",Update,
511142,193,357454073124404,FM-1202,081519764470,511:{12},"2021-07-13 08:32:59","2021-07-13 08:35:13.125",Update,
511166,264,352094088731085,FMA,081514019177,511:{1},"2021-07-13 08:41:19","2021-07-13 08:41:28.163",Update,
395004,"BIS. 4 EA-7378-A",357454075059939,FM-1202,081519764614,2:{0}," null"," null"," Tidak ada data di RAW"
511009,183,352848025190188,FM-32,08553210909,511:{0;2},"2021-07-13 08:06:01.151","2021-07-13 08:23:35.185",Update,
523002,DK-9512-KN,352848024505642,FM-42,081553914262,523:{1},"2021-07-13 08:35:14.839","2021-07-13 08:37:39.389",Update,
511061,111,352848026164091,FM-32,08553206566,511:{7},"2021-07-12 01:12:48.021","2021-07-12 01:13:13.165","CPU Reset Recomendation","Macanan - Nganjuk - Jawa Timur"
511174,270,352093082784801,FMA,081514007595,511:{1},"2021-07-13 08:38:41","2021-07-13 08:38:55.034",Update,
301038,L-9958-N,356307046136718,FM-1200,08553202287,301:{13},"2021-07-13 01:05:56.48","2021-07-13 01:08:41.544",Update,
501006,C2511,356307046114566,FM-1200,081132264117,501:{0;15},"2021-06-05 09:08:48","2021-06-05 09:15:49.011","CPU Reset Recomendation","Pergudangan Bumi Maspion - Romokalisari - Benowo"
355004,"T 40",352848029420516,FM-42,081553914214,355:{2},"2021-06-30 02:59:38.14","2021-06-30 03:00:09.626","CPU Reset Recomendation","RW 08 - Perak Barat - Krembangan"
