VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
201003,"2021-07-16 13:37:50","2021-07-16 13:37:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:38:00",Update
201011,"2021-07-16 13:38:56","2021-07-16 13:38:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:39:11",Update
201016,"2021-07-16 13:38:39","2021-07-16 13:38:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:39:02",Update
201022,"2021-07-16 13:38:42","2021-07-16 13:38:45",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:39:01",Update
201025,"2021-07-16 13:38:33","2021-07-16 13:38:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:38:52",Update
201031,"2021-07-16 13:38:16","2021-07-16 13:38:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:38:41",Update
201034,"2021-07-16 13:38:31","2021-07-16 13:38:34",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:38:52",Update
201035,"2021-07-16 13:38:08","2021-07-16 13:38:11",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:38:32",Update
201036,"2021-07-16 13:38:15","2021-07-16 13:38:21",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:38:40",Update
201037,"2021-06-20 21:50:13.766","2021-06-20 21:50:20.111","Api null","Api null","Api null","CPU Reset"
201038,"2021-07-16 13:41:00","2021-07-16 13:41:03",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:41:17",Update
201044,"2021-07-16 13:41:47","2021-07-16 13:41:49",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:41:57",Update
201046,"2021-07-16 13:41:36","2021-07-16 13:41:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:41:48",Update
201048,"2021-07-16 13:41:29","2021-07-16 13:41:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:41:47",Update
201058,"2021-07-16 13:40:58","2021-07-16 13:41:01",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:41:16",Update
201059,"2021-07-16 13:40:58","2021-07-16 13:41:02",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 13:41:17",Update
201063,"2021-07-09 10:00:29","2021-07-09 10:00:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 10:00:46","CPU Reset"
