VID,Devicetime,Servertime,HTML Response,XML Response,Last Posttime,Comment
202152,7/17/2021 11:07,7/17/2021 11:07,200,"{""data_failed"":[],""message"":""Success""}",7/17/2021 11:08,Update
202597,7/17/2021 11:07,7/17/2021 11:08,200,"{""data_failed"":[],""message"":""Success""}",7/17/2021 11:08,Update
202173,7/17/2021 11:07,7/17/2021 11:07,200,"{""data_failed"":[],""message"":""Success""}",7/17/2021 11:07,Update
202369,7/17/2021 9:51,7/17/2021 10:15,200,"{""data_failed"":[],""message"":""Success""}",7/17/2021 10:16,Update
VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202152,"2021-07-17 11:15:48","2021-07-17 11:15:51",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:16:03",Update
202597,"2021-07-17 11:15:54","2021-07-17 11:16:06",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:16:14",Update
202173,"2021-07-17 11:16:22","2021-07-17 11:16:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:16:36",Update
202369,"2021-07-17 09:51:52","2021-07-17 10:15:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 10:16:15",Update
VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202152,"2021-07-17 11:17:48","2021-07-17 11:17:51",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:17:58",Update
202597,"2021-07-17 11:18:17","2021-07-17 11:18:27",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:18:47",Update
202173,"2021-07-17 11:18:22","2021-07-17 11:18:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:18:40",Update
202369,"2021-07-17 09:51:52","2021-07-17 10:15:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 10:16:15",Update
VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
202152,"2021-07-17 11:32:48","2021-07-17 11:32:51",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:32:56",Update
202597,"2021-07-17 11:32:06","2021-07-17 11:32:15",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:32:27",Update
202173,"2021-07-17 11:32:22","2021-07-17 11:32:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:32:36",Update
202369,"2021-07-17 11:32:27","2021-07-17 11:32:29",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 11:32:36",Update
