VID,Devicetime,Servertime,"HTML Response","XML Response","Last Posttime",Comment
201003,"2021-07-21 09:47:19","2021-07-21 09:47:25",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:47:40",Update
201011,"2021-07-16 14:06:56","2021-07-16 14:06:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 14:07:08","Battery Power Low (66,6234)"
201016,"2021-07-21 09:46:54","2021-07-21 09:46:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:47:09",Update
201022,"2021-07-21 09:47:45","2021-07-21 09:47:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:49:59",Update
201025,"2021-07-21 09:46:58","2021-07-21 09:47:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:47:19",Update
201031,"2021-07-21 09:46:59","2021-07-21 09:47:05",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:47:20",Update
201034,"2021-07-21 09:30:25","2021-07-21 09:30:27",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:30:41",Update
201035,"2021-07-21 09:47:04","2021-07-21 09:47:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:47:22",Update
201036,"2021-07-21 09:47:15","2021-07-21 09:47:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:47:41",Update
201037,"2021-06-20 21:50:13.766","2021-06-20 21:50:20.111","Api null","Api null","Api null","CPU Reset"
201038,"2021-07-21 09:53:55","2021-07-21 09:53:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:54:09",Update
201044,"2021-07-21 09:54:27","2021-07-21 09:54:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:54:50",Update
201046,"2021-07-21 09:53:55","2021-07-21 09:53:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:54:18",Update
201048,"2021-07-21 09:54:13","2021-07-21 09:54:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:54:29",Update
201058,"2021-07-21 09:53:32","2021-07-21 09:53:35",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:53:49",Update
201059,"2021-07-21 09:53:51","2021-07-21 09:53:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:54:09",Update
201063,"2021-07-09 10:00:29","2021-07-09 10:00:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-09 10:00:46","CPU Reset"
201064,"2021-07-21 09:55:10","2021-07-21 09:55:13",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 09:55:20",Update
