VID,"2021-07-26 10:19:50","2021-07-26 10:19:53.404","Api null","Api null","Api null","CPU Reset"
201003,"2021-07-26 10:18:49","2021-07-26 10:18:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:19:06",Update
201011,"2021-07-16 14:06:56","2021-07-16 14:06:59",200,"{""data_failed"":[],""message"":""Success""}","2021-07-16 14:07:08","Battery Power Low (66,6234)"
201016,"2021-07-26 10:19:50","2021-07-26 10:19:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:20:06",Update
201022,"2021-07-26 10:19:45","2021-07-26 10:19:48",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:19:57",Update
201025,"2021-07-26 10:19:59","2021-07-26 10:20:06",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:20:18",Update
201031,"2021-07-26 10:19:33","2021-07-26 10:19:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:19:57",Update
201034,"2021-07-26 10:20:06","2021-07-26 10:20:08",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:20:18",Update
201035,"2021-07-26 10:19:26","2021-07-26 10:19:30",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:19:48",Update
201036,"2021-07-26 10:19:21","2021-07-26 10:19:29",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:19:45",Update
201037,"2021-06-20 21:50:13.766","2021-06-20 21:50:20.111","Api null","Api null","Api null","CPU Reset"
201038,"2021-07-26 10:24:44","2021-07-26 10:24:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:25:01",Update
201044,"2021-07-26 10:25:16","2021-07-26 10:25:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:25:34",Update
201046,"2021-07-26 10:25:08","2021-07-26 10:25:11",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:25:23",Update
201048,"2021-07-21 10:48:38","2021-07-21 10:48:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 10:48:58","CPU Reset"
201058,"2021-07-26 10:25:51","2021-07-26 10:25:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:06",Update
201059,"2021-07-26 10:25:44","2021-07-26 10:25:47",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:04",Update
201063,"2021-07-09 10:00:29.358","2021-07-09 10:00:33.227","Api null","Api null","Api null","CPU Reset"
201064,"2021-07-26 10:25:55","2021-07-26 10:25:58",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:05",Update
201067,"2021-06-24 16:22:47.496","2021-06-24 16:23:13.675","Api null","Api null","Api null","CPU Reset"
201071,"2021-07-26 10:26:40","2021-07-26 10:26:46",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:08",Update
201072,"2021-07-26 10:26:29","2021-07-26 10:26:32",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:36",Update
201074,"2021-07-26 10:26:55","2021-07-26 10:26:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:19",Update
201075,"2021-07-26 10:26:13","2021-07-26 10:26:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:29",Update
201077,"2021-07-26 10:27:08","2021-07-26 10:27:12",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:31",Update
201078,"2021-07-26 10:26:12","2021-07-26 10:26:18",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:28",Update
201079,"2021-07-26 10:26:29","2021-07-26 10:26:33",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:38",Update
201080,"2021-07-26 10:26:15","2021-07-26 10:26:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:30",Update
201081,"2021-07-26 10:27:01","2021-07-26 10:27:04",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:22",Update
201082,"2021-07-17 23:52:19","2021-07-17 23:52:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-17 23:52:37","Battery Power Low (66,0)"
201083,"2021-07-26 10:26:53","2021-07-26 10:26:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:20",Update
201084,"2021-07-26 10:26:54","2021-07-26 10:26:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:21",Update
201085,"2021-07-26 10:27:18","2021-07-26 10:27:21",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:42",Update
201086,"2021-07-26 10:26:51","2021-07-26 10:26:56",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:09",Update
201087,"2021-07-26 10:27:20","2021-07-26 10:27:26",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:43",Update
201088,"2021-07-26 10:27:36","2021-07-26 10:27:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:54",Update
201089,"2021-07-26 10:27:14","2021-07-26 10:27:16",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:29",Update
201090,"2021-07-26 10:26:52","2021-07-26 10:27:07",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:29",Update
201092,"2021-07-26 10:26:49","2021-07-26 10:26:52",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:09",Update
201093,"2021-07-26 10:27:42","2021-07-26 10:27:45",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:01",Update
201094,"2021-07-26 10:27:06","2021-07-26 10:27:09",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:30",Update
201095,"2021-07-26 10:26:51","2021-07-26 10:26:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:11",Update
201096,"2021-07-26 10:26:51","2021-07-26 10:26:54",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:11",Update
201097,"2021-07-26 10:27:26","2021-07-26 10:27:29",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:44",Update
201100,"2021-07-26 10:27:16","2021-07-26 10:27:19",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:27:42",Update
201102,"2021-05-29 14:49:46","2021-05-29 14:49:49.73","Api null","Api null","Api null","Battery Power Low (66,0) (api null)"
201103,"2021-07-26 10:28:36","2021-07-26 10:28:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:57",Update
201104,"2021-07-26 10:28:40","2021-07-26 10:28:43",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:59",Update
201105,"2021-07-26 10:26:08","2021-07-26 10:26:23",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:26:40",Update
201109,"2021-07-26 10:28:50","2021-07-26 10:29:10",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:26",Update
201110,"2021-07-26 10:28:51","2021-07-26 10:28:53",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:07",Update
201111,"2021-07-26 10:29:16","2021-07-26 10:29:20",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:30",Update
201112,"2021-07-26 10:28:37","2021-07-26 10:28:39",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:59",Update
201113,"2021-07-26 10:29:12","2021-07-26 10:29:17",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:27",Update
201114,"2021-07-26 10:28:33","2021-07-26 10:28:36",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:56",Update
201115,"2021-07-26 10:28:35","2021-07-26 10:28:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:28:57",Update
201116,"2021-07-26 10:28:42","2021-07-26 10:28:57",200,"{""data_failed"":[],""message"":""Success""}","2021-07-26 10:29:10",Update
