VID,"2021-08-03 13:01:58","2021-08-03 13:02:30.285","Api null","Api null","Api null","CPU Reset"
201003,"2021-08-03 13:01:25","2021-08-03 13:01:29",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:01:39",Update
201011,"2021-07-16 14:02:56","2021-07-16 14:02:58.856","Api null","Api null","Api null","Battery Power Low (66,6432) (api null)"
201016,"2021-08-03 13:08:15","2021-08-03 13:08:22",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:08:36",Update
201022,"2021-08-03 13:08:50","2021-08-03 13:08:54",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:09:09",Update
201025,"2021-08-03 13:08:39","2021-08-03 13:08:45",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:08:58",Update
201031,"2021-08-03 13:08:58","2021-08-03 13:09:04",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:09:20",Update
201034,"2021-08-03 13:08:21","2021-08-03 13:08:23",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:08:36",Update
201035,"2021-08-03 13:08:45","2021-08-03 13:08:48",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:09:09",Update
201036,"2021-08-03 13:08:33","2021-08-03 13:08:38",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:08:59",Update
201037,"2021-06-20 21:50:13.766","2021-06-20 21:50:20.111","Api null","Api null","Api null","CPU Reset"
201038,"2021-08-03 13:15:29","2021-08-03 13:15:32",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:16:32",Update
201044,"2021-08-03 13:14:47","2021-08-03 13:14:49",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:15:05",Update
201046,"2021-08-03 13:14:59","2021-08-03 13:15:02",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:15:17",Update
201048,"2021-07-21 10:48:38","2021-07-21 10:48:41",200,"{""data_failed"":[],""message"":""Success""}","2021-07-21 10:48:58","CPU Reset"
201058,"2021-08-03 13:17:11","2021-08-03 13:17:13",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:17:30",Update
201059,"2021-08-03 13:17:00","2021-08-03 13:17:03",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:17:20",Update
201063,"2021-07-09 10:00:29.358","2021-07-09 10:00:33.227","Api null","Api null","Api null","CPU Reset"
201064,"2021-08-03 13:18:16","2021-08-03 13:18:19",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:18:39",Update
201067,"2021-06-24 16:22:47.496","2021-06-24 16:23:13.675","Api null","Api null","Api null","CPU Reset"
201071,"2021-08-03 13:19:25","2021-08-03 13:19:28",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:45",Update
201072,"2021-08-03 13:18:42","2021-08-03 13:18:45",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:00",Update
201074,"2021-08-03 13:19:03","2021-08-03 13:19:05",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:22",Update
201075,"2021-08-03 13:18:54","2021-08-03 13:18:58",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:11",Update
201077,"2021-08-03 13:19:19","2021-08-03 13:19:23",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:34",Update
201078,"2021-08-03 13:19:01","2021-08-03 13:19:06",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:21",Update
201079,"2021-08-03 13:18:58","2021-08-03 13:19:00",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:13",Update
201080,"2021-08-03 13:18:41","2021-08-03 13:18:44",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:00",Update
201081,"2021-08-03 13:19:34","2021-08-03 13:19:38",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:45",Update
201082,"2021-08-03 13:19:21","2021-08-03 13:19:24",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:36",Update
201083,"2021-08-03 13:18:41","2021-08-03 13:18:45",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:00",Update
201084,"2021-08-03 13:18:58","2021-08-03 13:19:04",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:22",Update
201085,"2021-08-03 13:19:13","2021-08-03 13:19:18",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:33",Update
201086,"2021-08-03 13:18:51","2021-08-03 13:18:54",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:10",Update
201087,"2021-08-03 13:19:35","2021-08-03 13:19:37",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:46",Update
201088,"2021-08-03 13:19:21","2021-08-03 13:19:23",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:36",Update
201089,"2021-08-03 13:18:43","2021-08-03 13:18:47",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:02",Update
201090,"2021-08-03 13:12:38","2021-08-03 13:15:23",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:15:38",Update
201092,"2021-08-03 13:18:52","2021-08-03 13:18:55",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:13",Update
201093,"2021-08-03 13:18:47","2021-08-03 13:18:50",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:12",Update
201094,"2021-07-31 11:07:35","2021-07-31 11:07:37",200,"{""data_failed"":[],""message"":""Success""}","2021-07-31 11:07:48","CPU Reset"
201095,"2021-08-03 13:19:27","2021-08-03 13:19:30",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:45",Update
201096,"2021-08-03 13:19:03","2021-08-03 13:19:07",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:22",Update
201097,"2021-08-03 13:19:52","2021-08-03 13:19:55",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:20:07",Update
201100,"2021-08-03 13:19:46","2021-08-03 13:19:50",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:19:56",Update
201102,"2021-05-29 14:49:46","2021-05-29 14:49:49.73","Api null","Api null","Api null","Battery Power Low (66,0) (api null)"
201103,"2021-08-03 13:22:03","2021-08-03 13:22:06",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:22:27",Update
201104,"2021-08-03 13:22:48","2021-08-03 13:22:51",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:23:07",Update
201105,"2021-08-03 13:17:37","2021-08-03 13:22:57",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:23:20",Update
201109,"2021-08-03 13:22:00","2021-08-03 13:22:18",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:22:33",Update
201110,"2021-08-03 13:22:22","2021-08-03 13:22:24",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:22:34",Update
201111,"2021-08-03 13:22:34","2021-08-03 13:22:38",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:22:45",Update
201112,"2021-08-03 13:22:04","2021-08-03 13:22:07",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:22:26",Update
201113,"2021-08-03 13:22:51","2021-08-03 13:22:54",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:23:21",Update
201114,"2021-08-03 13:23:01","2021-08-03 13:23:04",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:23:21",Update
201115,"2021-08-03 13:22:36","2021-08-03 13:22:40",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:22:55",Update
201116,"2021-08-03 13:17:10","2021-08-03 13:17:26",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:17:41",Update
201118,"2021-08-03 13:22:40","2021-08-03 13:22:43",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:22:56",Update
201121,,,"Api null","Api null","Api null","Battery Power Low () (api null)"
201124,"2021-08-03 13:26:32","2021-08-03 13:26:36",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:26:45",Update
201125,"2021-07-09 01:24:50","2021-07-09 01:24:53.134","Api null","Api null","Api null","Battery Power Low (66,4984) (api null)"
201126,"2021-08-03 13:33:27","2021-08-03 13:33:30",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:33:38",Update
201127,"2021-07-12 14:44:17","2021-07-12 14:44:22.232","Api null","Api null","Api null","CPU Reset"
201128,"2021-08-03 13:33:28","2021-08-03 13:33:31",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:33:38",Update
201129,"2021-08-03 13:33:09","2021-08-03 13:33:13",200,"{""data_failed"":[],""message"":""Success""}","2021-08-03 13:33:27",Update
