"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,697,697,100%
202482,B-9427-CXS,698,698,100%
202476,B-9389-CXS,620,708,87.57%
202459,B-9371-CXS,400,701,57.06%
202493,B-9437-CXS,367,714,51.4%
202444,B-9406-CXS,310,710,43.66%
202543,B-9605-CXS,295,701,42.08%
202454,B-9360-CXS,250,717,34.87%
202490,B-9448-CXR,240,705,34.04%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,697,697,100%
202482,B-9427-CXS,698,698,100%
202476,B-9389-CXS,620,708,87.57%
202459,B-9371-CXS,400,701,57.06%
202493,B-9437-CXS,367,714,51.4%
202444,B-9406-CXS,310,710,43.66%
202543,B-9605-CXS,295,701,42.08%
202454,B-9360-CXS,250,717,34.87%
202490,B-9448-CXR,240,705,34.04%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,697,697,100%
202482,B-9427-CXS,698,698,100%
202476,B-9389-CXS,620,708,87.57%
202459,B-9371-CXS,400,701,57.06%
202493,B-9437-CXS,367,714,51.4%
202444,B-9406-CXS,310,710,43.66%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202543,B-9605-CXS,295,701,42.08%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202543,B-9605-CXS,1,711,0.14%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202543,B-9605-CXS,1,711,0.14%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202543,B-9605-CXS,1,698,0.14%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,696,696,100%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202442,B-9829-CXR,741,896,82.7%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
201003,W-8292-U,0,0,0%
201011,W-8058-UN,0,0,0%
201016,L-9451-UB,0,0,0%
201022,L-9452-UB,0,0,0%
201025,B-9291-CXR,0,0,0%
201031,W-8365-U,0,0,0%
201034,L-9386-UD,0,0,0%
201035,W-8042-UN,0,0,0%
201036,L-9302-UF,0,0,0%
201037,B-9295-CXR,0,0,0%
201038,L-9388-UD,0,0,0%
201044,W-9499-U,0,0,0%
201046,W-9501-U,0,0,0%
201048,W-8439-UQ,0,0,0%
201058,L-9056-UB,0,0,0%
201059,B-9381-CU,0,0,0%
201063,W-8879-U,0,0,0%
201064,L-9760-UD,0,0,0%
201067,L-9872-UA,0,0,0%
201071,W-9265-U,0,0,0%
201072,W-9329-U,0,0,0%
201074,W-8446-UN,0,0,0%
201075,W-9705-U,1,0,INF%
201077,W-9215-UP,1,0,INF%
201078,W-9212-UP,1,0,INF%
201079,W-9704-U,0,0,0%
201080,W-8443-UN,0,0,0%
201081,W-9213-UP,0,0,0%
201082,W-9210-UP,0,0,0%
201083,W-9214-UP,0,0,0%
201084,W-9970-UP,0,0,0%
201085,W-9974-UP,0,0,0%
201086,W-9971-UP,0,0,0%
201087,W-9601-UP,0,0,0%
201088,W-8440-UQ,0,0,0%
201089,W-9604-UP,0,0,0%
201090,W-9599-UP,0,0,0%
201092,W-9602-UP,0,0,0%
201093,W-8359-UQ,884,0,INF%
201094,W-8628-UQ,0,0,0%
201095,W-8437-UQ,0,0,0%
201096,W-8360-UQ,0,0,0%
201097,W-8489-UQ,0,0,0%
201100,W-9069-UQ,0,0,0%
201102,W-8486-UQ,0,0,0%
201103,W-8067-UN,0,0,0%
201104,W-8939-UQ,0,0,0%
201105,W-8362-UQ,0,0,0%
201109,W-9074-UQ,0,0,0%
201110,W-9077-UQ,0,0,0%
201111,W-9071-UQ,1,0,INF%
201112,W-9122-UQ,0,0,0%
201113,W-9068-UQ,0,0,0%
201114,W-9070-UQ,0,0,0%
201115,W-9075-UQ,0,0,0%
201116,W-9073-UQ,0,0,0%
201118,W-9581-US,0,0,0%
201121,B-9480-CXR,0,0,0%
201124,B-9469-CXR,1,0,INF%
201125,B-9308-CXR,0,0,0%
201126,B-9309-CXR,1,0,INF%
201127,B-9305-CXR,0,0,0%
201128,B-9224-CXR,0,0,0%
201129,B-9225-CXR,0,0,0%
201130,B-9306-CXR,0,0,0%
201131,W-9230-UQ,0,0,0%
201132,W-9124-UQ,322,0,INF%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
201003,W-8292-U,0,1430,0%
201011,W-8058-UN,0,0,0%
201016,L-9451-UB,0,1350,0%
201022,L-9452-UB,0,1354,0%
201025,B-9291-CXR,0,1387,0%
201031,W-8365-U,0,1336,0%
201034,L-9386-UD,0,1353,0%
201035,W-8042-UN,0,1418,0%
201036,L-9302-UF,0,1342,0%
201037,B-9295-CXR,0,0,0%
201038,L-9388-UD,0,1420,0%
201044,W-9499-U,0,1377,0%
201046,W-9501-U,0,1336,0%
201048,W-8439-UQ,0,1335,0%
