"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202083,B-9266-CXR,0,640,0%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202083,B-9266-CXR,0,601,0%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202083,B-9266-CXR,0,673,0%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202543,B-9605-CXS,387,698,55.44%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202543,B-9605-CXS,341,714,47.76%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202543,B-9605-CXS,231,620,37.26%
"Device ID","Device code",Count,"Total Data","Persentase longlat (0)"
202543,B-9605-CXS,256,662,38.67%
